2021-05-26 13:06:47.887 [main] INFO  FirstDataCreator - 1 object has been created successfully
2021-05-26 13:06:47.888 [main] INFO  FirstDataCreator - 2 object has been created successfully
2021-05-26 13:06:47.890 [main] INFO  Menu - With provided -1 as x, answer of the equation: 5
2021-05-26 13:06:47.890 [main] INFO  Menu - With provided 4 as x, answer of the equation: 70
2021-05-26 13:06:49.840 [main] INFO  SecondDataCreator - 1 object has been successfully created
2021-05-26 13:06:49.840 [main] INFO  SecondDataCreator - 2 object has been successfully created
2021-05-26 13:06:49.842 [main] INFO  Menu - We were given 5 as an x and 3 as y
2021-05-26 13:06:49.842 [main] INFO  Menu - After method numberReplacer(Data data) has been invoked numbers look this: 30  4
2021-05-26 13:06:49.842 [main] INFO  Menu - We were given 7 as an x and 8 as y
2021-05-26 13:06:49.842 [main] INFO  Menu - After method numberReplacer(Data data) has been invoked numbers look this: 7  112
2021-05-26 13:06:53.327 [main] INFO  ThirdDataCreator - 1 object has been created successfully
2021-05-26 13:06:53.328 [main] INFO  ThirdDataCreator - 2 object has been created successfully
2021-05-26 13:06:53.328 [main] INFO  Menu - Day: 12, Month: 5
2021-05-26 13:06:53.328 [main] INFO  Menu - Day: 1, Month: 1
2021-05-26 13:06:55.080 [main] INFO  FourthDataCreator - 1 object has been created successfully
2021-05-26 13:06:55.080 [main] INFO  FourthDataCreator - 2 object has been created successfully
2021-05-26 13:06:55.087 [main] INFO  FourthDataCreator - 3 object has been created successfully
2021-05-26 13:06:57.149 [main] INFO  FitChecker - User has inputted 12 as length of a hole
2021-05-26 13:06:58.460 [main] INFO  FitChecker - User has inputted 5 as width of a hole
2021-05-26 13:06:58.460 [main] INFO  Menu - x: 3, y: 4, z: 5: This brick fits in a hole
2021-05-26 13:06:58.460 [main] INFO  Menu - x: 5, y: 4, z: 3: This brick fits in a hole
2021-05-26 13:06:58.460 [main] INFO  Menu - x: 7, y: 8, z: 2: This brick fits in a hole
2021-05-26 13:07:04.381 [main] INFO  Menu - With 14 provided as x, answer of the equation: -191
2021-05-26 13:07:04.381 [main] INFO  Menu - With 5 provided as x, answer of the equation: 0
2021-05-26 13:07:04.381 [main] INFO  Menu - With 8 provided as x, answer of the equation: -65
2021-05-26 13:07:12.551 [main] INFO  Menu - User pressed 6 to quit
